inventory_movement_id,product_id,supplier_id,location_id,event_type,movement_datetime,quantity,unit_price
INV001,P001,SUP002,WH001,restock,2024-01-10 08:00:00,50,750.00
INV002,P002,SUP002,WH001,restock,2024-01-10 08:30:00,30,950.00
INV003,P003,SUP003,WH002,restock,2024-01-11 09:00:00,25,250.00
INV004,P004,SUP002,WH001,restock,2024-01-11 10:00:00,100,25.00
INV005,P005,SUP004,WH003,restock,2024-01-12 11:00:00,20,120.00
INV006,P001,SUP002,ST001,internal_transfer,2024-01-14 14:00:00,5,750.00
INV007,P002,SUP002,ST002,internal_transfer,2024-01-15 15:00:00,3,950.00
INV008,P004,SUP002,ST001,internal_transfer,2024-01-15 16:00:00,10,25.00
INV009,P008,SUP002,WH001,restock,2024-01-16 09:00:00,15,150.00
INV010,P006,SUP002,WH001,restock,2024-01-17 10:00:00,12,380.00
INV011,P007,SUP005,WH002,restock,2024-01-18 11:00:00,30,65.00
INV012,P009,SUP003,WH002,restock,2024-01-19 12:00:00,8,600.00
INV013,P010,SUP002,WH001,restock,2024-01-20 13:00:00,10,520.00
INV014,P001,SUP002,WH001,customer_return,2024-01-25 16:30:00,1,750.00
INV015,P004,,WH001,write_off,2024-01-26 17:00:00,2,25.00